
<https://www.datatourisme.fr/ontology/core#BistroOrWineBar>,Bistrot - Bar à vin,<https://www.datatourisme.fr/ontology/core#FoodEstablishment>,Restauration
<https://www.datatourisme.fr/ontology/core#Cellar>,Cave ou caveau,<https://www.datatourisme.fr/ontology/core#FoodEstablishment>,Restauration
<https://www.datatourisme.fr/ontology/core#Accommodation>,Hébergement,<https://www.datatourisme.fr/ontology/core#PlaceOfInterest>,Lieu
<https://www.datatourisme.fr/ontology/core#Chalet>,Chalet,<https://www.datatourisme.fr/ontology/core#AccommodationProduct>,Produit d'hébergement
<https://www.datatourisme.fr/ontology/core#Arena>,Arène,<https://www.datatourisme.fr/ontology/core#RemarkableBuilding>,Bâtiment civil remarquable
<https://www.datatourisme.fr/ontology/core#ParkAndGarden>,Parc et jardin,<https://www.datatourisme.fr/ontology/core#CulturalSite>,Site culturel
<https://www.datatourisme.fr/ontology/core#NonHousingRealEstateRental>,Location de salle,<https://www.datatourisme.fr/ontology/core#Rental>,Location
<https://www.datatourisme.fr/ontology/core#Orchard>,Verger conservatoire,<https://www.datatourisme.fr/ontology/core#TechnicalHeritage>,"Patrimoine industriel, artisanal, rural, agricole et technique"
<https://www.datatourisme.fr/ontology/core#Organisation>,Organisation,<https://www.datatourisme.fr/ontology/core#Agent>,Agent
<https://www.datatourisme.fr/ontology/core#Opera>,Opéra,<https://www.datatourisme.fr/ontology/core#CulturalEvent>,Évènement culturel
<https://www.datatourisme.fr/ontology/core#Palace>,Palais,<https://www.datatourisme.fr/ontology/core#RemarkableBuilding>,Bâtiment civil remarquable
<https://www.datatourisme.fr/ontology/core#OpenDay>,Portes ouvertes,<https://www.datatourisme.fr/ontology/core#SaleEvent>,Evènement commercial
<https://www.datatourisme.fr/ontology/core#Parade>,Défilé Cortège Parade,<https://www.datatourisme.fr/ontology/core#SocialEvent>,Evènement social
<https://www.datatourisme.fr/ontology/core#NightClub>,Discothèque,<https://www.datatourisme.fr/ontology/core#SportsAndLeisurePlace>,"Site sportif, récréatif et de loisirs"
<https://www.datatourisme.fr/ontology/core#HotelTrade>,Hôtellerie,<https://www.datatourisme.fr/ontology/core#Accommodation>,Hébergement
<https://www.datatourisme.fr/ontology/core#MedicalPlace>,Lieu de santé,<https://www.datatourisme.fr/ontology/core#PlaceOfInterest>,Lieu
<https://www.datatourisme.fr/ontology/core#NaturalHeritage>,Site naturel,<https://www.datatourisme.fr/ontology/core#PlaceOfInterest>,Lieu
<https://www.datatourisme.fr/ontology/core#PlaceOfInterest>,Lieu,<https://www.datatourisme.fr/ontology/core#PointOfInterest>,Point d'intérêt
